Tripadvisor,description,address,Excelente,Muybueno,Normal,Malo,Pesimo
Palacio de Santa Cruz,"As the official residence of the Minister for Foreign Affairs, this building has been visited by personalities from all over the world and it is not unusual to see a foreign ruler alighting from an official car in front of the entrance. &nbsp;This has not always been the case, however. It was made the Court Prison and the Hall of the Royal Court Judges by order of Philip IV and it was Philip V who turned it into a palace.It is one of Madrid&#39;s most important surviving palaces. It is rectangular in shape with two towers at the corners and features a very characteristic combination of brickwork and granite, the latter being used for corners, doorways, lintels, window sills and the spires topping the towers.In 1930, it was renovated by architect Pedro Muguruza, who also restored it in 1941, because of the damage it had suffered in the war.","Plaza Provincia 1, 28012 Madrid, España",5,13,1,0,0
Casa Cisneros,"This impressive mansion was built in 1537 by the nephew of the famous Cardinal Cisneros, Benito Jiménez de Cisneros. Made in Plateresco style, the highlight of the original building is the façade on la calle del Sacramento, which is formed by an arc of granite masonry, on which is located the main balcony flanked by two beautiful columns. At that time, the façade facing the Town Square was the rear of the building, and gave access to the stables and corrals. Over time, this house has hosted important figures in the history of Spain; it is said that the Secretary of Felipe II, Antonio Perez was here, and from here fled to France in 1590. Also, here Count Romanones was born, and had illustrious residents such as the generals Narvaez and Polavieja.In 1909 the building was purchased by the City to integrate it into the offices of la Casa de la Villa; undergoing an extensive restoration by architect Luis Bellido and Gonzalez. The highlight of the restoration was building the façade facing the Plaza de la Villa (near Sol) and well as the elevated passageway that connects it with the City Hall. Both actions were carried out in accordance with the original features of the building.","Plaza Villa 4, 28005 Madrid, España",7,12,2,0,0
Estación de Príncipe Pío,"Also named Estación del Norte (North Station) for a long time, because it was built with French resources by the Northern Railway Company, to be the terminal station for the railway connecting Madrid with the French border. The building of the station is an example of the Modernist architecture from the end of the 19th century. Built by the French architects Bairez, Grasset, and Ouliat in 1879, it presents a façade flanked by two towers. Its style is historicist. In the interior, the hall is the most noteworthy area.After losing its function as a railroad station, it was closed for several years until reopened, after undergoing a major restoration. Today it is an important transport junction with Metro and an urban, inter-urban annd long distance bus interchange, but it has also become a Leisure and Cultural Center, and a mall with all kind of stores and restaurants.","Paseo de la Florida, Madrid, España",17,25,22,2,5
Iglesia de Las Calatravas,"The church originally belonged to a convent, the Monasterio Real de la Concepción, which was better known as the convent of the Comendadoras de Calatrava. Its origins date back to 1623, when the nuns of the military order of Calatrava moved to Madrid from Almonazid de Zorita, in Guadalajara. The convent was demolished in 1868, during the Glorious Revolution, only the church remaining standing.&nbsp; It was built between 1670 and 1678 according to a design by Fray Lorenzo de San Nicolás, although it was completed by Isidro Martínez and Gregorio Garrote. It is in the form of a Latin cross, with a transept and a striking dome, resting on an octagonal tower with eight windows, four of which are open and four sealed. Inside, the magnificent altarpiece created by José Benito de Churriguera between 1720 and 1724, with sculptures by Pablo González Velázquez, is of exceptional interest.The present day façade is quite different from the original, as during the reign of Isabella II it was completely remodelled by the architect Juan de Madrazo y Kuntz on the orders of the king consort, Francisco de Asís. The change consisted in applying a red terracotta colour to the whole façade and introducing neo-Renaissance decorations, largely inspired by the architecture of Milan, such as the rose window in the central section reproducing the cross of Calatrava.","Calle Alcala 25, 28013 Madrid, España",11,15,5,0,0
Casa y Torre de los Lujanes,"Located in the district of Austrias, the Lujanes&#39; Tower and House is one of the&nbsp;oldest preserved houses in Madrid and in it for several centuries different generations of the lineage of Luján have resided. It is believed to have been built during the fifteenth century, but in reality, both the manor house and the tower date from different periods. The tower is the oldest building, it presents even medieval Gothic and Arabic inspired architectural remains, such as the horseshoe arch that faces la calle del Codo. The manor house was built by Alvaro Lujan in 1494, is of an irregular plan, organized around a central courtyard and features decorations similar to those of the tower, highlighting its Gothic roots and coats of arms.It now houses the Real Academia de Ciencias Morales y Políticas.&nbsp;","Plaza Villa 2, 28005 Madrid, España",8,13,3,0,0
Plaza De Pedro Zerolo,"This well-known square is one of the epicenters of the Chueca neighborhood and holds a large part of the activities celebrated during the Gay Pride festival.Surrounded by a combination of nineteenth century and modern façades, it has one of the most original subterranean carparks in the city underneath it. Designed by the architect Teresa Sapey, the entrance is decorated with a large red ribbon (a symbol of the fight against AIDS), while the inside consists of a series of spaces with colorful decoration, with neon lights, large photographs and quotes from Inferno from Divine Comedy by Dante.","Plaza De Pedro Zerolo, 28004 Madrid, España",2,0,1,0,0
Estatua Tras Julia,"This life-size bronze statue by the sculptor from Madrid, Antonio Santín Benito, which pays tribute to Julia, a young university student who, according to the legend, attended&nbsp; the Central University dressed up as a man, as only men were allowed to study there, can be found close to the Noviciado metro station in Malasaña.The statue was erected on 2 April 2003 on the exterior façade of the Bauer Palace, where the former university was located and which is now home to the Higher Singing School. The statue represents a young girl carrying books in her arms, leaning against the wall.","Calle del Pez, 28015 Madrid, España",2,0,1,0,0
Estatua de Miguel de Cervantes,"In 1835, the Catalonian sculptor Antonio Solá created a statue of Cervantes and it was the first secular statue to be installed in Madrid that was not dedicated to royalty. There was a trend since the mid-18th century to pay tribute to the important people from the world of science and arts.It was first placed in the court of Palacio de la Cruzada, in the Duque de Nájera square, but was translated in July in 1835 to its current location at the Plaza de las Cortes; a place closer to where the writer spent his last years.In 2009, a &ldquo;time capsule&rdquo; was discovered in its pedestal containing some very well preserved items: four volumes of Don Quixote from 1819, a book on life of Miguel de Cervantes, other publications, medallions and coins. These finds are today held at the Museo Arqueológico Regional en Alcalá de Henares.","Plaza de las Cortes, 28014 Madrid, España",2,0,1,0,0
Iglesia Del Santisimo Cristo De La Fe,"This church, built between 1592 and 1620,&nbsp;is one of the oldest in Madrid. Located in Calle de Atocha, it is right by the headquarters of the&nbsp;Sociedad Cervantina, where Juan de la Cuesta printed the first edition of Don Quixote in 1605.The building, which started out as a hospital, became home to the Colegio de los Desamparados in the early 17th Century, which took in orphaned children, and later became the Hospital de los Incurables de Nuestra Señora del Carmen.Bombed during the war, the Iglesia del Santísimo Cristo de la Fe was subsequently restored, and then it became home to the&nbsp;Parroquia de San Salvador y San Nicolás, until it moved back to its original location, in the Plaza de Antón Martín. In 1981, the building was declared a Historic-Artistic Monument.","Calle Atocha 87, 28012 Madrid, España",2,0,1,0,0
Puerta de San Vicente,"King Charles III ordered Sabatini to build the San Vicente gate in 1775 at almost the same time as the Puerta de Alcalá. However, the original work was lost before our time because it was dismantled in 1892 to make way for traffic, and some of the ashlars in the monument were used for the construction of decorative lampposts in the Glorieta de Cibeles. Municipal architect López Salaberry was responsible for this project, and he also requested permission for the unused pillars to be valued and auctioned.Proposals were put forward at various times for the reconstruction of the Puerta de San Vicente. Maria Cristina, the queen regent, repeatedly expressed a desire that the gate should once again grace the city. Later, in 1692, the city council passed a motion for a reproduction of the monument valued at a million pesetas (6,000 &euro;) to be constructed. However, the first stone of the new Puerta de San Vicente was not laid until 1994, in the Arganzuela district.&nbsp;The monument consists of a main arch and two smaller gates, the former adorned with two Doric columns on the outer side and two pilasters on the inner.&nbsp;For the replica, made from concrete clad in grey granite and limestone, the original moulds for the upper cornices were used. The reproduced elements include the embellishments created by José Luis Parés Parra.","Entre el Paseo de la florida | y El Paseo de la Virgen del Puerto, 28008 Madrid, España",11,18,32,2,1
Jardines del Descubrimiento,"This park, which first opened in 1970, can be found in the Plaza de Colón close to Madrid&#39;s Golden Mile or &#39;Milla de Oro&#39;, Calle Serrano, as well as El Paseo de la Castellana, El Paseo de Recoletos, la Calle Goya, and the National Library.The park covers an area of 1.87 hectares and is dedicated to the discovery of America. It is home to a monument that commemorates this historic event, created by Joaquín Vaquero Turcios. The monument is situated on a reservoir and is made up of three large concrete columns with relief motifs related with the discovery. It was erected in 1977, when the remodelling of the Plaza de Colón was completed, and the Cultural Centre now known as the Fernán Gómez Cultural Centre was inaugurated.","Plaza de Colon, Madrid, España",3,7,13,3,1
Torre de Madrid,"Built between 1954 and 1960, this tower, located in the Plaza de España, was for some years the tallest concrete skyscraper in the world. Today it is one of the most emblematic buildings in the city centre.&nbsp;The Torre de Madrid was designed by brothers Julián and José María Otamendi, who also created the Edificio España. It is 142 metres tall and has 32 storeys.Following major internal and external refurbishment in 2012, the central and upper parts of the Torre de Madrid (10th to 32nd floor) are now fully residential.&nbsp; The first nine floors house the hotel&nbsp;Barceló Torre de Madrid, which opened in 2017.","Plaza Espana 18, 28008 Madrid, España",9,13,10,2,0
Casa de la Villa,"Plaza de la Villa was one of the main centres of medieval Madrid because of its location halfway between the Ports of Guadalajara and the Vega, two of the major entrances to the city during the Middle Ages. In the fifteenth century, Plaza de la Villa adopted its current name, coinciding with the granting of the title of &quot;Noble and Loyal&quot;, received by Madrid by King Enrique IV of Spain (1425-1474). The named Casa de la Villa occupies the former site of the houses of the Marquis del Valle, Mr. Juan de Acuña, where the Duke of Osuna lived (1574-1624) when, the Holy Thursday of 1621, he was taken prisoner by order of the king. Despite the different views, it is considered that its construction began around 1645, from a design by the architect Juan Gómez de Mora, and was completed in 1693. The gallery of Tuscan columns on the façade facing the calle Mayor is the work of Juan de Villanueva (1789).From the date of completion of works it was the home of Madrid City Hall until, on November 5, 2007, the Mayor of Madrid moved to the Cibeles Palace, leaving this building reserved almost exclusively by the Municipal Council.","Plaza de la Villa | Calle Mayor, 28005 Madrid, España",10,3,0,0,0
Antiguo Vestibulo De La Estacion Pacifico,"The former vestibule of the Pacífico metro station forms part of the Metro de Madrid recovery of historic patrimony project to open it up to the public. Free guided visits to this station, which came into service in 1923 when the Atocha &ndash; Puente de Vallecas section of Line 1 was opened, are organised every Saturday of the year.The original foyer closed in 1966 when the platforms of this line were extended, so new foyers and entrances were built, leaving this one obsolete. The refurbishment of this new museum space has respected the original decoration, designed by the architect, Antonio Palacios, hence joining other historic spaces of the Metro, such as the Pacífico Engine Shed, the Chamberí or Ópera stations.Visits should be requested in advance by email to: andencero@tritoma.es.","Avenida de la Ciudad de Barcelona 79, 28007 Madrid, España",0,1,0,0,0
Real Oratorio Del Caballero de Gracia,"The Oratory of Caballero de Gracia is one of the best hidden architectural treasures in Madrid. This church looks small from the outside, since its door is boxed into a corner on Gran Vía, but inside it unfolds into a neoclassical temple by Juan de Villanueva, which looks like a Roman basilica.Among its most noteworthy internal features are the single-piece granite columns, the vault and the sculptures of the Virgen del Socorro, signed by Francisco Elías in 1825, and of Cristo de la Agonía, which, according to studies, was made by Juan Sánchez Barba in 1650. The church belongs to the Caballero de Gracia Eucharistic Association, founded by Jacobo Gratiis (known as the Caballero de Gracia), who was born in Modena in 1517 and who died in Madrid in 1619. It is currently run by Opus Dei.","Calle Gran Via 17 | Caballero de Gracia 5, 28013 Madrid, España",10,7,4,0,0
Iglesia de San Pedro El Viejo,"This is one of Madrid&rsquo;s oldest churches. The construction is already listed in the Code of Laws from 1202. The contemporary building is the result of several reforms and additions that have been constructed over the years. The oldest part is probably the Mudejar tower that may well have been built in the mid-14th century. Made in brick, the church has a simple decoration with horseshoe arches on the windows. Next to the tower there is a Renaissance style front that Tormo has dated back to 1525.Once inside, the first element that stands out is the fluted front of the epistle apse which could have been created in the 15th century. The main apse and the three naves date back to the first half of the 17th century, when the temple was reformed following orders from the Archbishop of Brindisi, Lorenzo Reinoso. The left nave apse accommodates a chapel founded by Francisco Luján in the 16th century. Luján&rsquo;s brother, Friar Antonio de Luján, Bishop of Mondoñedo, was buried within although his remains have been moved to the National Archaeology Museum.","Calle Nuncio 14, 28005 Madrid, España",8,8,7,0,0
Instituto Cervantes,"Instituto Cervantes is the public institution created by Spain in 1991 for the promotion and teaching of the Spanish language and diffusion of the Spanish and Hispanic culture.The Madrid headquarters of this institute is located in Alcalá street, in what is known as the &ldquo;Edificio de las Cariátides&rdquo; (Caryatid Building). The former head office of the Central Bank, it was designed by the architects Antonio Palacios and Joaquín Otamendi to house the historic Río de la Plata Bank. The Instituto Cervantes organises a full programme of cultural activities for all audiences, such as plays, exhibitions and workshops for children.&nbsp;","Calle de Alcalá, 49, 28014 Madrid, España",7,4,1,0,0
Parroquia Virgen de la Paloma,"The Church of Paloma&nbsp;is the popular name for the church of the San Pedro el Real parish, a catholic temple located in the La Latina quarter. Inside it is one of the most devote images for the Madrid Catholics, the painting of Our Lady of Soledad, known as the Virgin of Paloma.&nbsp;The present church, inaugurated in 1912, stands on the site of the original chapel erected at the end of the 18th century. This was demolished in the year 1896 and replaced by a Neo-Mudejar style building, with some Neo-Gothic elements. In 1978, the church was rebuilt and the pews were laid out very differently to other churches, creating an assembly around the altar and the baptismal font.&nbsp;&nbsp;","Plaza Virgen de La Paloma 1, 28005 Madrid, España",10,8,6,0,0
Iglesia de San Sebastian,"This is the final resting place of Lope de Vega. The church has two entrances: one on Calle de San Sebastián, which retains the antique façade remodelled by Juan Antonio Cuervo in 1829, and another on Calle de Atocha.&nbsp;&nbsp;The old church of San Sebastián, which was built between 1554 and 1578 by master builder Antonio Sillero, was restored by Juan Bautista Monegro and Teodoro Ardemans during the 18th century. This original church was destroyed by a bombing raid in 1936. The new construction was undertaken by Francisco Íñiguez Almech in 1943. It was opened to the public in 1959. The current church was built using masonry from the older church but is completely modern in design.","Calle Atocha 39, 28012 Madrid, España",5,3,6,0,0
Palacio de Fernán Núñez,"The I Duke of Fernán Núñez began building this neoclassical palace in 1790. The current configuration is the product of remodelling by the Count of Cervellón, husband of the daughter of the I Duke of Fernán Núñez, to convert it into one of the most outstanding mid-19th-century residences in Madrid. It&#39;s located on Calle Santa Isabel, near Atocha station.&nbsp;Since 1985, it has been the headquarters of the Spanish Railways Foundation.The inside was deeply altered by the remodelling, in which the original building was adapted to the romanticism dominant at that time. The Palace consists of two areas: the main part and the staff and stables area. The main part is the best conserved, being abundantly decorated with rugs and tapestries from the Royal Tapestry Factory, some of which are replicas of Goya cartoons, as well as inlays on the floors and ceilings, Baccarat crystal lamps, silken fabrics, marbles, bronzes, profusely gilded furniture and other luxury elements.The most important parts of the Palace include the Reception Patio with the main staircase, the Stucco Room, the Pasos Perdidos (Lost Steps) Room and Lodge, the Red Room (main office), the Ballroom, the Isabelline Room, the Main Dining Room, the Children&#39;s Dining Room and the Walnut Staircase. The garden and greenhouse are also noteworthy.","Calle de Santa Isabel 44, 28012 Madrid, España",8,7,1,0,0
Residencia de Estudiantes,"Since its foundation in 1910, the Residencia de Estudiantes Students&rsquo; Halls of Residence was the first cultural centre in Spain and one of the most lively and fruitful hotbeds of creativity and scientific and artistic exchange in Europe during the interwar years. Located at the&nbsp;Salamanca neighborhood,&nbsp;it is a place where many of the Spanish 20th century renowned culture figures resided as students - including the poet&nbsp;Federico García Lorca, the painter&nbsp;Salvador Dalí, the filmmaker&nbsp;Luis Buñuel&nbsp;and the scientist&nbsp;Severo Ochoa. It was frequented, as visitors or residents while they were in Madrid, by figures like Miguel de Unamuno,&nbsp;Alfonso Reyes, Manuel de Falla, Juan Ramón Jiménez, José Ortega y Gasset, Pedro Salinas, Blas Cabrera, Eugenio d&rsquo;Ors,&nbsp;Rafael Alberti, and many more.The Residencia de Estudiantes is one of the oldest cultural centres in Madrid. Today it holds numerous public events featuring personalities from arts and sciences such as conferences, panel discussions, concerts, poetry readings, conferences and exhibitions. This makes the Residencia a place open to debate, creation and critical thinking about the trends of our time.As a curiosity, a room of the Pabellones Gemelos can be visited in which a historic room of the &nbsp;Residence has been created, exhibiting decor that is reminiscent of the rooms in which these illustrious writers, scientists and artists stayed. The elements that are used as furniture belong to the patrimony of the Residence and the Free Teaching Institute. Others have been reproduced for the occasion.Staying in a building with historyThe Students&rsquo; Residence continues offering accommodation to researchers, artists and creators from diverse fields and origins, who usually stay there for periods of less than a week. To do so, it has 90 rooms and offers cafeteria and restaurant services, which are open to residents and the general public.It also offers weekend stays (Friday and Saturday), long weekends, Christmas and Easter. &nbsp;For bookings, phone &nbsp;91 561 32 00 or send an e-mail to:&nbsp;reservas@residencia.csic.es.","Calle Pinar 21 23, 28006 Madrid, España",5,10,4,0,1
Casa Gallardo,"Located close to Plaza de España, this building is one of the key pieces of the final stages of the Madrid Modernism. The work of the architect Federico Arias Rey, it was designed in 1911 as a remodeling of an older building. It was declared Cultural Heritage Monument in 1997.The building starts off with Art Nouveau and incorporates diverse elements for a delicately elegant finish. The façade, with soft curves and beautiful decorative elements is the most striking element of the building showing us the sculptor within the architect. Light colors of the walls are in contrast to the dark slate tiles of the roof. The big dome crowning the corner of the building shows a big G, typical of Gallardo.","Calle Ferraz | Plaza de Espana, 28008 Madrid, España",4,9,3,0,0
Torres Blancas,"Designed by&nbsp;Francisco Javier Sáenz de Oiza&nbsp;and completed in 1969, this concrete tower rises up 71 metres into the Madrid skyline. It is one of the most complicated and innovative concrete structures of its time, breaking with the typical conventions of residential architecture.&nbsp;When building Torres Blancas, the aspiration of Oiza was to build a unique residential building, of a great height, which would grow organically like a tree. The result was a structure that was covered vertically by staircases, lifts, and installations, like the vessels of a tree, surrounded by curved balconies grouped in the manner of leaves on branches. It has 23 floors for homes and offices, plus an additional floor at the top of the building, two basement levels, and the ground floor access level, in addition to a services floor reserved for general installations, located between floors 21 and 22. There is a large swimming pool on the roof terrace.","Numero Numero 2 Esquina Con Avenida de America Numero 37 Calle Corazon de Maria, 28002 Madrid, España",8,8,1,1,0
Edificio de la Real Compañía Asturiana de Minas,"Today, the building is the headquarters of the Autonomous Community of Madrid, but it was formerly the Madrid headquarters of the Royal Asturian Mining Company (Spain). It was designed by architect Manuel Martínez Ángel and built between 1896 and 1899.","Calle Bailen 1, 28005 Madrid, España",0,10,1,1,0
Iglesia de San Nicolás de los Servitas,"The church is extremely old, dating back to the 12th century. It became the oldest church in Madrid after the demolition of the medieval church of Santa María la Real de la Almudena, which was built on the site of the old Aljama mosque of Mayrit. It has been a national monument since 1931.The church dates from the 15th century and preserves a number of medieval features. The nave and chapels are 17th century and the lovely granite entrance porch with the image of San Nicolás by sculptor Luis Salvador Carmona dates from the early 18th century. Architecturally speaking, the 12th century Mudéjar tower is topped by a 17th century spire.San Nicolás church used to be the final resting place of Juan de Herrera, favourite architect of King Philip II, for whom he designed the palace and monastery of El Escorial, overseeing the work himself. Herrera&#39;s remains were transferred to his home town of Santander some time ago.","Near Plaza de San Nicolas, Madrid, España",13,7,3,0,1
El Viaducto,"This impressive feat of civil engineering, which dates from 1931, links the Royal Palace to the Basilica of San Francisco El Grande. Owing to its location on the slope that goes from Calle Bailén down towards the Manzanares River, if offers magnificent views over the west of the city and Casa de Campo Park.&nbsp;Made from polished reinforced concrete, the Viaduct was built in 1931 to replace the previous one constructed in 1874. Rationalist in style, it comprises three 35-metre high archways under which Calle Segovia passes, while Calle Bailén passes over the top.&nbsp;This site offers impressive views over Casa de Campo Park, the Royal Palace, and La Almudena Cathedral, which is why it has been chosen as a location for many films, including Matador, High Heels and&nbsp;I&rsquo;m so excited!, by Pedro Almodóvar.","Calle Bailen, Madrid, España",3,10,18,2,0
Arco de la Victoria,"Known popularly as La Puerta de Moncloa, this triumphal arch, which bears a striking resemblance to La Puerta de Alcalá, was built in the 50s and is located by one of the main entrances into Madrid, in the district of Moncloa.The monument was designed by architects&nbsp;Modesto López Otero&nbsp;and&nbsp;Pascual Bravo Sanfeliú, which raised a 40 metre high arch, supported by two rectangular bases. In each of these bases there is an entrance hall giving access to the upper part via a marble staircase or a lift. The adornment, created by Moisés de Huerta, includes bas-reliefs in a neoclassical style on the frieze, and figures that represent military virtues on the north wing and academic disciplines on the other wing. The top is crowned by a sculpture representing the goddess Minerva driving a chariot.","Arco de la Victoria, 28040 Madrid, España",13,22,20,7,3
Palacio del Marqués de Salamanca,"The BBVA Foundation is housed in the palace that used to be the residence of the Marquis of Salamanca in Madrid, on Paseo de Recoletos. The building was fully rehabilitated for the Foundation, one of the city&rsquo;s top cultural venues.Built between 1846 and 1855 by architect Narciso Pascual y Colomer, the palace was a four-façade detached building with a ground floor and a main floor, a lovely garden with a Carrara marble fountain, and a wrought iron gate. The main façade was designed in a classical style under the influence of palazzo-style architecture. It features three rounded arches in the central section leading into the building. The main floor is decorated with grotesque elements, medallions and half-columns.The BBVA Foundation has five strategic areas of activity: Environment, Biomedicine and Health, Economy and Society, Basic Science and Technology, and Culture. It designs, develops and funds research projects, offers grants, courses, workshops and seminars, and organises outreach activities to share the knowledge produced.The foundation&rsquo;s Multiverso Hall holds video art exhibitions by programme beneficiaries or artists with special commissions.","Paseo Recoletos 10, 28001 Madrid, España",6,5,4,0,0
Fuente de los Galápagos,"Commissioned by Ferdinand VII to commemorate the first anniversary of the birth of Princess Isabella, later to become Isabella II, the Galápagos Fountain is also known by her name. It was originally constructed in the Red de San Luis in 1832 and remained there for nearly 50 years until it was moved in 1879 to Glorieta de Nicaragua in the Retiro Park, near the big lake and the bandstand. The fountain shows three fairies offering their gifts to the princess and the sculpture reflects good wishes for the future queen. The dolphins ridden by four children are associated with intelligence, wisdom and prudence; the marine elements represent fertility, as water is the source of all life, and the Galápagos tortoises symbolise longevity.","Parque del Retiro, Madrid, España",3,10,8,2,1
Iglesia de San Pedro ad Víncula,"Until its annexation&nbsp;to Madrid in 1950, the village of Vallecas was an independent municipality. Its main church was built at the beginning of the 17th century by Juan de Herrera, although the tower is the work of another illustrious architect, Ventura Rodríguez, who designed it in 1775. The temple&rsquo;s fabulous façade stands out, with a portrayal of the release of Saint Peter, and the geometric mouldings of the arch of the&nbsp;central nave. Its baptism chapel and those of Christ of Health, Nazarene and Trinidad are also of particular interest.","Calle de Sierra Gorda | Barrio de Vallecas, 28031 Madrid, España",4,0,0,0,0
Casa de la Carniceria,"Located in the south of the Plaza Mayor of Madrid side,&nbsp; Casa de la Carnicería is a four-storey penthouse building, with ground floor arcade and the sides crowned with angular towers. The exact date of the construction of the current building is unknown, although it is believed that it was completely rebuilt after the first fire of the Plaza Mayor in 1631. For the reconstruction, the style of Casa de la Panadería, which is located just opposite, was followed. Originally, it housed the general facility from which meat was supplied to the markets of the town, hence the name of the building. In the late nineteenth century, it became the home of the Deputy Mayor and the district emergency assembly. From the early twentieth century, it was converted for a third time to become Casa Consitorial, harbouring various city offices.","Plaza Mayor 28-29, 28012 Madrid, España",3,2,2,0,0
Puerta de Felipe IV,"This monumental gateway, opposite the Casón del Buen Retiro, was designed by architect Melchor de Bueras in 1690. Made of granite, with ornaments by Pedro de Landa, it was built in celebration of King Charles II&rsquo;s wedding to Maria Anna of Neuburg.The gate, in the late baroque style, first stood in the vicinity of the Hieronymites Monastery and Paseo del Prado, as an enclosing element for the Royal Site of El Buen Retiro &ndash; where today you can find the Plaza de Cánovas del Castillo and the Neptuno Fountain. In 1880, it was moved to its current location, on Calle de Alfonso XII, marking the entrance to the Parterre Garden.","Calle de Alfonso XII s/n, 28014 Madrid, España",3,5,2,0,0
Casa de las Siete Chimeneas,"This is one of the few examples of 16th century civil architecture still standing in Madrid. It was designed and built between 1574 and 1577 by architect Antonio Sillero for Pedro de Ledesma, secretary to Antonio Pérez. In 1541, Andrea de Lurano undertook the first extension, giving the stately house a rectangular plan and adding a hip roof finished off with seven chimneys. The house owes its name to those chimneys which are also the object of several legends according to which the seven elements represent the seven capital sins. According to another ancient belief, Philip II&rsquo;s illegitimate daughter was locked away in the house and her spirit continues to haunt it today.In the 18th century, the house&rsquo;s new noble occupants demanded certain modifications, including the construction of an annex to give the house an L-shape plan. Back then it was also home to the famous Marquis of Esquilache, whom the people of Madrid rebelled against in 1766. During the 19th century it accommodated several banks until it was declared a Historical-Artistic Monument in 1948 and was reformed again in 1957 by architects Fernando Chueca Goitia and José Antonio Domínguez Salazar. Since 1980 it has housed the Ministry of Education and Culture.","Plaza del Rey 1, 28004 Madrid, España",5,9,3,0,0
Monasterio de Benedictinas de San Plácido,"This church, with a design by the architect Fray Lorenzo de San Nicolás, began construction in 1641 and concluded works 20 years later. Inside is an exquisite Cristo yacente by Gregorio Fernández and for a time also held Cristo crucificado by Velázquez until its transfer to Prado.&nbsp;It was declared a National Monument in 1943.One of the greatest treasures boasted by San Plácido is the main altarpiece, an Annunciation by Claudio Coello, who also painted a further two altarpieces located on the arms of the transept.&nbsp; The frescos on the dome, on the vaulted ceiling of the presbytery and the central nave are also of great artistic value. Some of the paintings are attributed to&nbsp;Francisco de Ricci&nbsp;and other Italian painters from the entourage of&nbsp;Diego Velázquez.Another of the most prominent elements is the Sepulchre chapel, where the famous Christs by Velázquez and Gregorio Hernández once hung, and which was demolished in 1908 on account of its ruinous condition. Located in the district of Malasaña, it was reconstructed in 1912 by the architect Rafael Martínez Zapatero.","Calle San Roque 9, 28004 Madrid, España",4,2,3,0,0
Torre Europa Madrid,"Located in the AZCA business complex and standing 120&nbsp;metres tall, with thirty-two storeys of office space, Torre Europa&nbsp;is one of Madrid&rsquo;s tallest buildings. It was built in 1985 by Miguel Oriol e Ybarra.Following the renovation works carried out from 2016 to 2017, the building has become one of the world&#39;s smartest skyscrapers, with an innovative lighting system that allows its spaces to be managed and optimised based on the specific requirements of the occasion and the individual preferences of each person.","Paseo Castellana 95, 28046 Madrid, España",3,3,7,0,0
Dolmen de Dalí,"Revealed in 1986, this sculpture designed by Salvador Dalí (Figueras, 1908-1989), in tribute to his wife, Gala, was declared as a property of heritage interest of the Community of Madrid in 2010.The sculpture is located in Salvador Dalí Square. It consists of a 14-metre dolmen and a sculpture on a pedestal of almost three and a half metres, made out of stone, granite and bronze. The human figure is an adaptation of the sculpture that the artist made in 1969 entitled Tribute to Newton, which, in turn, is based on a small image portrayed in the pictorial work, Phosphene of Laporte, in 1932. Dalí&rsquo;s idea was to erect a monument to science and technique as an expression of the greatest achievements of Humanity.","Plaza de Salvador Dali s/n, 28009 Madrid, España",4,4,10,1,0
Real Academia Española,"The Royal Spanish Academy is the institution vested with the responsibility for overseeing the proper use of the Spanish language. It is currently located &nbsp;in a purpose built building close to Plaza de Cibeles, on the Art Walk.The building was built by Miguel Aguado between 1891 and 1894 and opened on 1 April that year attended by King Alfonso XIII and his mother, the Queen Regent. It is built in a neoclassical style, its main façade having a portico flanked by four Doric style columns and finished with a triangular pediment. Inside, it Salon, of notable interest, is also decorated in the neoclassical style.","Calle Felipe II, 4, 28009 Madrid, España",1,6,2,0,0
Casino de Madrid,"This outstanding building is located on Alcalá Street, and its magnificent and luxurious hall can be appreciated from the street. The Madrid Casino was started in 1836 when an exclusive group of people met at the Café del Príncipe. However, the lands located between Alcalá and de la Aduana Steets, where the new building would be constructed, were purchased in 1903.The Casino is a magnificent example of Madrid&rsquo;s eclectic ideas in the early 20th Century, with a mixture of French and Baroque trends. The best artists and artisans were hired for the decoration of the interior of the building. Highlights include the large reception room, Neo-Baroque and modern Maumejean windows, and the main staircase in a singular Modernist style, which is one of the best in Madrid.Regarding the restaurant, Jaime Hayón, a young man from Madrid who is transgressing fashion and design, has given the restaurant a luxury and modernity, which go beyond its menu. Today, apart from the avant-garde cooking of the great Paco Roncero, who is constantly supervised by guru Ferrán Adrià, the restaurant astonishes people with its spectacular white-and-black chequered flooring, inspiring chandeliers, beveled mirrors on the walls multiplying the space, greyish-blue chairs in hundreds of shapes, original porcelain figures, and a private room that stands out even more for its elegance and because of its impressive chandelier and hand-painted plates hanging from the roof.","Alcalá 15, 28014 Madrid, España",4,0,2,0,0
Puente del Rey,"In Madrid Río, at one of the entrances to Casa de Campo Park, there lies the Puente del Rey Stage, just between Palacio de los Vargas and Huerta de la Partida. It hosts all kinds of shows: music, dance, flamenco, zarzuela, musicals, and more.The bridge was designed by Royal Architect Isidro González Velázquez (a disciple of Juan de Villanueva) and built in the nineteenth century. In its early days, it could only be used by the King, giving access to Casa de Campo from the Royal Palace. When the park was opened to the public in 1931, the bridge was widened. Today, it&rsquo;s one of the main entrances to Madrid Río.","Glorieta de San Vicente, Madrid, España",1,5,10,0,0
